"","liczba_przypadkow","stan_rekordu_na","wojewodztwo"
"1",10141,"2020-11-23","Cały kraj"
"2",1033,"2020-11-23","dolnośląskie"
"3",529,"2020-11-23","kujawsko-pomorskie"
"4",671,"2020-11-23","lubelskie"
"5",267,"2020-11-23","lubuskie"
"6",561,"2020-11-23","łódzkie"
"7",489,"2020-11-23","małopolskie"
"8",1181,"2020-11-23","mazowieckie"
"9",514,"2020-11-23","opolskie"
"10",540,"2020-11-23","podkarpackie"
"11",309,"2020-11-23","podlaskie"
"12",989,"2020-11-23","pomorskie"
"13",944,"2020-11-23","śląskie"
"14",359,"2020-11-23","świętokrzyskie"
"15",476,"2020-11-23","warmińsko-mazurskie"
"16",649,"2020-11-23","wielkopolskie"
"17",460,"2020-11-23","zachodniopomorskie"
"18",15360,"2020-11-24","Cały kraj"
"19",820,"2020-11-24","dolnośląskie"
"20",1327,"2020-11-24","kujawsko-pomorskie"
"21",939,"2020-11-24","lubelskie"
"22",506,"2020-11-24","lubuskie"
"23",1007,"2020-11-24","łódzkie"
"24",951,"2020-11-24","małopolskie"
"25",1586,"2020-11-24","mazowieckie"
"26",466,"2020-11-24","opolskie"
"27",589,"2020-11-24","podkarpackie"
"28",449,"2020-11-24","podlaskie"
"29",1138,"2020-11-24","pomorskie"
"30",1938,"2020-11-24","śląskie"
"31",301,"2020-11-24","świętokrzyskie"
"32",860,"2020-11-24","warmińsko-mazurskie"
"33",1418,"2020-11-24","wielkopolskie"
"34",1014,"2020-11-24","zachodniopomorskie"
"35",16846,"2020-11-25","Cały kraj"
"36",1117,"2020-11-25","dolnośląskie"
"37",1213,"2020-11-25","kujawsko-pomorskie"
"38",1027,"2020-11-25","lubelskie"
"39",510,"2020-11-25","lubuskie"
"40",1106,"2020-11-25","łódzkie"
"41",917,"2020-11-25","małopolskie"
"42",1788,"2020-11-25","mazowieckie"
"43",587,"2020-11-25","opolskie"
"44",752,"2020-11-25","podkarpackie"
"45",467,"2020-11-25","podlaskie"
"46",1112,"2020-11-25","pomorskie"
"47",1860,"2020-11-25","śląskie"
"48",471,"2020-11-25","świętokrzyskie"
"49",1212,"2020-11-25","warmińsko-mazurskie"
"50",1671,"2020-11-25","wielkopolskie"
"51",994,"2020-11-25","zachodniopomorskie"
"52",17059,"2020-11-26","Cały kraj"
"53",1319,"2020-11-26","dolnośląskie"
"54",1366,"2020-11-26","kujawsko-pomorskie"
"55",801,"2020-11-26","lubelskie"
